univerzita;dotacie;mzdy;dotacie-dokt;dotacie-stud;zamestnanci;int-dokt;dokt-abs;studenti;studenti-denni;absolventi;ubyt-kap-sd;ubyt-studenti-sd;prispevok-sd;pub-podiel
UK;76955994;35154510;7485815;7041236;4745;1331;320;27380;21706;19831;11012;10004;793216;19,59053808
UPJŠ;22020879;9576244;1476185;2446397;1361;265;75;8368;7269;5280;1776;1781;127648;6,599868069
PU;17434872;7019168;1026611;3218935;1038;161;67;11761;7409;6889;1921;2007;158288;5,345882571
UCM;7484225;3418191;386111;845305;388;61;0;6992;5334;3734;224;224;14336;1,549820617
UVL;8791849;3995447;623323;604476;495;115;17;1626;1464;1267;899;775;41744;2,292264551
UKF;19188933;8712336;1324148;2129907;1026;215;119;12408;8159;8024;1597;1566;125280;7,007038193
UMB;19076191;8551067;1125959;2798281;1249;212;95;13429;8380;7866;2434;2288;161280;7,424150602
TVU;10564304;4657750;974474;938332;527;189;63;8224;5191;3432;;;;3,158213576
STU;57204228;26615938;5960086;4967479;3055;1038;154;18211;16882;15371;8556;6592;523520;13,43837412
TUKE;39751109;16873715;3133985;6613796;1858;553;89;17585;13626;11259;4984;5986;396032;7,23562802
ŽU;27692163;12421058;2130713;3783680;1482;371;146;11959;9288;8600;5007;4502;355120;4,257644393
TUAD;8393123;3770073;532026;736671;464;83;17;8110;4139;4537;320;216;12000;1,764222353
EU;21532693;9634391;1262965;3186558;1333;245;126;13614;10704;9413;3480;3455;250496;5,974879869
SPU;19597966;8606921;1588587;2483144;1221;260;94;9883;6953;7094;3028;2713;198416;4,493867768
TUZVO;11237065;5071652;882426;1329814;810;157;59;4951;3302;3298;1524;1415;85328;3,059897493
VŠMU;5327725;2901224;402144;129938;325;65;41;1062;1009;1992;;0;0;0,351744353
VŠVU;4209279;2209230;290556;142367;202;52;8;691;675;1354;;0;0;0,374215377
AU;2993615;1479444;178734;321814;156;29;7;640;615;1177;201;156;9984;0,27844372
KU;12150310;5535813;746859;1227186;678;124;38;7698;4922;6231;699;590;35152;5,03717109
UJS;2588024;988929;62277;607528;157;13;0;2528;1480;1122;513;477;38160;0,766135192
