univerzita;dotacie;mzdy;dotacie-dokt;dotacie-stud;zamestnanci;int-dokt;dokt-abs;studenti;studenti-denni;absolventi;ubyt-kap-sd;ubyt-studenti-sd;prispevok-sd;pub-podiel-07711;pub-podiel-07712
UK;77188587;22358025;7729715;8006375;NA;1559;NA;27422;21919;12369;10861;9675;800848;20,71006511;26,03523973
UPJŠ;22757216;6656435;1766983;2466042;NA;314;NA;8699;7408;3605;1806;1657;126960;6,193284877;9,048936692
PU;18316144;5397622;1216551;3960319;NA;205;NA;10571;7048;5049;1921;1928;154240;5,585440686;4,102463764
UCM;7613364;2881112;462610;945202;NA;77;NA;5947;4650;2806;224;209;13952;1,718813843;1,40006506
UVL;9159398;2974668;587893;647983;NA;117;NA;1873;1689;270;908;751;26048;2,104777914;2,374904879
UKF;19265704;6462251;1484369;2405707;NA;242;NA;12354;8268;5559;1552;1433;124080;6,568321108;5,329845478
UMB;18590413;6109460;1265427;2751876;NA;252;NA;12349;7816;5942;2434;2225;164480;6,791872168;5,306779875
TVU;10243014;3368177;996745;950338;NA;188;NA;7516;4574;3046;;;0;3,347500217;2,344218088
STU;56943985;17138021;6263282;4696983;NA;1190;NA;18189;17118;9343;6724;6552;533360;13,45585287;17,73156863
TUKE;38957862;11880335;3100463;6536820;NA;554;NA;16319;12919;7481;4984;5786;414400;6,646405482;5,88805886
ŽU;27056909;8217291;2329877;3796173;NA;392;NA;11715;9217;5519;5044;4390;354448;4,423408603;3,152518231
TUAD;7677563;2740431;499722;779454;NA;85;NA;5743;3259;2927;320;158;10048;1,904237002;1,90444848
EU;20861429;7068976;1490373;3088214;NA;257;NA;12759;10065;7727;3530;3152;240288;6,079434099;4,143506178
SPU;19237006;6282008;1586472;2352864;NA;258;NA;9964;7079;4726;3028;2484;164768;4,54471156;3,657568768
TUZVO;11148942;3521695;867809;1407840;NA;153;NA;5235;3506;2002;1524;1460;88048;3,314396725;2,486366902
VŠVU;5599140;2001169;387340;201493;NA;61;NA;1052;997;613;;;0;0,297907331;0,224502459
VŠMU;4160394;1319084;277566;145736;NA;57;NA;687;660;386;;;0;0,387686295;0,109265027
AU;3210870;1147907;191927;328497;NA;30;NA;629;590;362;136;100;6400;0,368174309;0,219402946
KU;11854293;3753909;935589;1685056;NA;166;NA;7353;3991;4482;631;469;28992;4,86383266;3,95089986
UJS;2708416;916859;59503;591838;NA;9;NA;2403;1561;867;513;467;37440;0,693877137;0,589440097
